# Constructed from biom file
#OTU ID	E-JT-526	E-SOG-4619	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-WP-623	E-SOG-6527	E-SOG-4424	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-LH-2016	E-BP-2016	E-TI-2014	E-PM-Aug-2014	E-DU-Jul-2014	E-JP-2016	E-JT-623	E-LS-428	E-SOG-4527	E-WV-Aug-2014	E-WC-2016	E-PM-Jul-2014	E-SOG-7424	E-SOG-2527	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-Tca-7-2014	E-FR-7-2014	E-DS-623	E-WP-526	E-PM-2016	E-BA-2016	E-MT-526	E-WV-Jula-2014	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-SOG-2619	E-SOG-6424	E-SOG-5527	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-SOG-3619	E-MT-428	E-TC-2014	E-SOG-1527	E-T7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424	taxonomy
126342	0.0	135.0	0.0	0.0	0.0	15.0	0.0	1.0	8.0	490.0	132.0	0.0	477.0	1.0	684.0	121.0	0.0	3152.0	239.0	1150.0	0.0	0.0	21.0	1454.0	5962.0	294.0	11.0	1.0	0.0	150.0	1265.0	10.0	1.0	0.0	0.0	238.0	5148.0	0.0	1560.0	0.0	2.0	978.0	46.0	16.0	175.0	310.0	1.0	1573.0	4.0	884.0	0.0	2.0	119.0	5.0	0.0	17.0	67.0	731.0	529.0	Eukaryota; __Alveolata; __FV18-2D11; __uncultured; __uncultured; __uncultured; __uncultured
126156	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0	196.0	2954.0	2.0	6.0	0.0	0.0	1.0	2304.0	1.0	1.0	0.0	0.0	0.0	0.0	712.0	5.0	0.0	0.0	0.0	2.0	3.0	0.0	12085.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	10097.0	0.0	3.0	0.0	168.0	57.0	4.0	0.0	2.0	0.0	0.0	3.0	Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Peridiniphycidae; __Gonyaulacales; __Alexandrium; __Alexandrium_pseudogoniaulax
107513	0.0	0.0	1.0	0.0	174.0	0.0	1.0	6866.0	0.0	0.0	1.0	8376.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7020.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	16.0	0.0	4956.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; __Archaeplastida; __Chloroplastida; __Chlorophyta; __Chlorophyceae
121419	0.0	4.0	1.0	0.0	0.0	352.0	0.0	2.0	18.0	25.0	20.0	2.0	4.0	0.0	7.0	29.0	0.0	12.0	117.0	398.0	5.0	8.0	3.0	99.0	25.0	250.0	0.0	93.0	0.0	10.0	5873.0	205.0	0.0	0.0	0.0	80.0	47.0	6.0	17100.0	0.0	1.0	1.0	6.0	22.0	2.0	50.0	0.0	1218.0	2.0	33.0	0.0	3.0	544.0	210.0	33.0	230.0	0.0	4.0	37.0	Eukaryota; __Opisthokonta; __Metazoa; __Mollusca; __Bivalvia; __Mytiloida; __Mytilus; __Mytilus_trossulus_(common_blue_mussel)
42066	0.0	7.0	0.0	0.0	0.0	280.0	1.0	0.0	2.0	6.0	2.0	0.0	7.0	1.0	10.0	9.0	0.0	15.0	133.0	270.0	3.0	0.0	4.0	121.0	17.0	212.0	3.0	107.0	0.0	7.0	6050.0	246.0	0.0	0.0	0.0	35.0	158.0	2.0	16558.0	1.0	0.0	2.0	6.0	39.0	0.0	8.0	0.0	1138.0	1.0	26.0	0.0	1.0	139.0	225.0	18.0	9.0	3.0	0.0	14.0	Eukaryota; __Opisthokonta; __Metazoa; __Mollusca; __Bivalvia; __Mytiloida; __Mytilus; __Mytilus_trossulus_(common_blue_mussel)
43137	0.0	15.0	0.0	0.0	0.0	298.0	0.0	2.0	15.0	14.0	41.0	0.0	2.0	0.0	8.0	37.0	0.0	29.0	100.0	359.0	8.0	1.0	4.0	73.0	15.0	223.0	0.0	89.0	0.0	8.0	5545.0	228.0	0.0	0.0	0.0	77.0	60.0	8.0	15986.0	1.0	2.0	1.0	5.0	33.0	4.0	55.0	1.0	1060.0	4.0	22.0	1.0	3.0	513.0	174.0	51.0	174.0	0.0	6.0	49.0	Eukaryota; __Opisthokonta; __Metazoa; __Mollusca; __Bivalvia; __Mytiloida; __Mytilus; __Mytilus_trossulus_(common_blue_mussel)
127490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	1.0	3.0	65.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	2.0	0.0	40.0	12.0	0.0	0.0	0.0	0.0	3211.0	22726.0	0.0	2.0	0.0	0.0	5.0	1.0	0.0	0.0	59.0	0.0	2.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	8.0	0.0	Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae
127132	22.0	0.0	133.0	0.0	1246.0	0.0	200.0	1975.0	29.0	1.0	0.0	3202.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	10.0	66.0	0.0	0.0	0.0	0.0	0.0	5.0	49.0	0.0	0.0	9972.0	118.0	11.0	6.0	0.0	0.0	81.0	3.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	474.0	0.0	0.0	0.0	9.0	0.0	0.0	8434.0	75.0	0.0	0.0	0.0	0.0	Eukaryota; __Alveolata; __Ciliophora; __Spirotrichea; __Hypotrichia; __Halteria; __Halteria
35	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	1.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; __Archaeplastida; __Chloroplastida; __Chlorophyta; __Trebouxiophyceae; __Chlorellales
126934	148.0	0.0	48.0	0.0	0.0	0.0	1339.0	0.0	17.0	4.0	2564.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1328.0	1.0	0.0	0.0	0.0	2.0	35.0	2.0	0.0	0.0	0.0	3.0	2.0	22.0	0.0	0.0	49.0	0.0	4238.0	1273.0	0.0	9.0	5.0	24.0	0.0	0.0	0.0	2.0	0.0	5430.0	1.0	0.0	0.0	115.0	5590.0	70.0	0.0	213.0	Eukaryota; __Opisthokonta; __Metazoa; __Actinopterygii; __Actinopterygii; __Vertebrata; __Vertebrata
