OTU	midSal	startSal	endSal	peakSal_withzero	peakSal_nozero	abundances_withzero	abundances_withzero_maxstand	abundances_withzero_sumstand	abundances_nozero	abundances_nozero_maxstand	abundances_nozero_sumstand	position
HQ166728.1.1351	24.5	24.0	25.0	19.5	16.083333333333332	0.002851159793814433	0.24978344288601392	0.030384255364770053	0.007127899484536082	0.42745696649539194	0.03156477698873041	withinBounds
HQ166728.1.1351	25.5	25.0	26.0	19.5	16.083333333333332	0.0023759664948453606	0.20815286907167826	0.02532021280397504	0.007127899484536082	0.42745696649539194	0.03156477698873041	withinBounds
HQ166728.1.1351	26.5	26.0	27.0	19.5	16.083333333333332	0.0022337647294209326	0.19569490490241542	0.023804796248455894	0.007818176552973264	0.4688525757286069	0.034621559954444804	withinBounds
HQ166728.1.1351	27.5	27.0	28.0	19.5	16.083333333333332	0.001737372567327392	0.15220714825743423	0.018514841526576807	0.007818176552973264	0.4688525757286069	0.034621559954444804	withinBounds
HQ166728.1.1351	28.5	28.0	28.916666666666664	19.5	16.083333333333332	0.0012888164016118815	0.1129101914038606	0.013734665713874102	0.007303292942467328	0.4379752342730284	0.03234147921312246	withinBounds
HQ166728.1.1351	29.333333333333332	28.916666666666664	29.666666666666664	19.5	16.083333333333332	0.0011047557041664157	0.09678506407579136	0.011773166661476655	0.00773328992916491	0.46376196259806607	0.034245652949071066	withinBounds
HQ166728.1.1351	30.0	29.666666666666664	30.25	19.5	16.083333333333332	0.001189736912179217	0.1042300690046984	0.012678794866205628	0.00773328992916491	0.46376196259806607	0.034245652949071066	withinBounds
HQ166728.1.1351	30.5	30.25	30.666666666666664	19.5	16.083333333333332	0.0006273525721455459	0.05496089195487225	0.006685574339666848	0.006273525721455458	0.3762205513618716	0.027781317730477772	withinBounds
HQ166728.1.1351	30.833333333333332	30.666666666666664	30.916666666666664	19.5	16.083333333333332	0.0007841907151819323	0.06870111494359031	0.008356967924583559	0.006273525721455458	0.3762205513618716	0.027781317730477772	withinBounds
HQ166728.1.1351	31.0	30.916666666666664	31	19.5	16.083333333333332	0	0.0	0.0	0	0.0	0.0	withinBounds
HQ166728.1.1351	33.51	33.51	33.51	19.5	16.083333333333332	0.008655126498002663	0.7582553948660868	0.09223599964485779	0.008655126498002663	0.5190440922317379	0.0383278605866152	outlier
DQ009095.1.1982	11.166666666666666	11	11.333333333333332	11.166666666666666	11.75	0.0037500629881582264	1.0	0.17662823867079058	0.01125018896447468	0.9068421373301652	0.12631392204263028	withinBounds
DQ009095.1.1982	11.5	11.333333333333332	11.75	11.166666666666666	11.75	0.0035445416261742795	0.9451952240181212	0.16694816761836406	0.012405895691609978	1.0	0.13928986848197328	withinBounds
DQ009095.1.1982	12.0	11.75	12.333333333333332	11.166666666666666	11.75	0.0029190342803788183	0.7783960668384526	0.13748672627394687	0.012405895691609978	1.0	0.13928986848197328	withinBounds
DQ009095.1.1982	12.666666666666666	12.333333333333332	13.0	11.166666666666666	11.75	0.002777106425731093	0.7405492746389887	0.13080191402841612	0.011663846988070591	0.9401858018166935	0.13095835668366584	withinBounds
DQ009095.1.1982	13.333333333333334	13.0	13.666666666666668	11.166666666666666	11.75	0.002777106425731093	0.7405492746389887	0.13080191402841612	0.011663846988070591	0.9401858018166935	0.13095835668366584	withinBounds
DQ009095.1.1982	14.0	13.666666666666668	14.25	11.166666666666666	11.75	0.002047389003910743	0.5459612306182302	0.0964321705466353	0.012284334023464457	0.9902012985464861	0.13792500864521923	withinBounds
DQ009095.1.1982	14.5	14.25	14.666666666666668	11.166666666666666	11.75	0.0012422360248447205	0.33125737588072396	0.058509406848520296	0.008695652173913044	0.7009290090834678	0.09763230949043608	withinBounds
