taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
EU799696.1.1242				brackishRestricted	brackishRestricted	0	0.004763029	0.000840553	18.5	27	1.77E-21	0.003413353	2.14E-06	No	18.5	27
EU799803.1.1257	brackishRestricted	5 to 35	YES	brackishPeakHiToler	brackishRestricted	0.000467458	0.026724269	0.008765581	16	25	9.82E-29	3.64E-05	1.84E-14	No	16	25
EU799844.1.1286				noclass	noclass	0.000595788	0.002444571	0	16	34	0.007153008	0.179060483	0.295558146	No		
EU799983.1.1222				marineRestricted	marineRestricted	0	0.014272188	0.03278696	22.5	29	5.26E-43	0.018638565	1.00E-38	No	26.17054515	
EU800220.1.1238				marineRestricted	marineRestricted	5.94E-05	0.00223101	0.025299202	30	34	8.43E-08	0.010423257	8.46E-18	No	33.65584373	
EU800298.1.1249				brackishRestricted	brackishRestricted	0.002859028	0.007638221	0.00050026	6	8	0.006035464	1.03E-08	0.022228581	No	6	8
EU800362.1.1247				noclass	noclass	0.00061341	0.002032995	0	12	14	0.016513936	0.000406142	0.051080902	No		
EU801151.1.1247				brackishRestricted	brackishRestricted	0.003186364	0.015420142	0	13	17	0.000572993	1.27E-07	0.00041496	No	13	17
EU801210.1.1483				brackishBloom	brackishRestricted	0.001607033	0.004604437	0.000286473	7	10	0.02043557	2.43E-06	0.006014462	brackish	7	10
EU801218.1.1479				freshRestricted	freshRestricted	0.009692569	0.001775322	0.000150631	8	13	8.25E-07	0.001812894	1.49E-09	No	8.85134213	
EU801294.1.1249				freshRestricted	freshRestricted	0.030388733	0.012239813	0	9	20	1.57E-07	8.67E-09	9.06E-14	No	13.43052184	
EU801299.1.1271				freshRestricted	freshRestricted	0.001896343	0.000832999	0.000116063	4	8	0.292189353	0.000952202	0.000849198	No	5.610839364	
EU801563.1.1494				noclass	noclass	0.000443525	0.006057309	0.002036737	5	8	0.008085523	0.001046175	0.141679295	No		
EU801594.1.1490	brackishRestricted	10 to 20	YES	brackishRestricted	brackishRestricted	0.000142476	0.004338876	0	14	17	2.69E-08	7.98E-05	0.207004929	No	14	17
EU801602.1.1494	brackishRestricted	4 to 20	YES	brackishRestricted	brackishRestricted	0	0.004581707	0.001805311	4	9	0.009233887	0.006960485	0.046567612	No	4	9
EU801776.1.1366				brackishRestricted	brackishRestricted	0.000286466	0.003646543	0	15	17	7.94E-06	8.71E-06	0.124050168	No	15	17
EU801968.1.1498				noclass	noclass	0	0.000884309	4.09E-05	6	8	0.01630832	0.001144932	0.279100112	No		
EU802173.1.1211	brackishRestricted	6 to 12	YES	brackishRestricted	brackishRestricted	0.000402277	0.003025475	0.000176991	12	14	0.002872315	0.005021699	0.304599488	No	12	14
EU802174.1.1498				noclass	noclass	0	0.004482906	0.000541821	5	7	0.007158897	0.000279936	0.105456336	No		
